,DevStage,pH,Weight,SNVL,Tail,MeanTemp,DeltaTemp,DissolvedOxygen,Conductivity,Elevation,BdCopies
T059,Non-metamorphic,7,11,50,61,10.37,5.45,86.63,64,3087,139.526856
T060,Non-metamorphic,7,1,20,20,10.37,5.45,86.63,64,3087,92.77691021
T061,Non-metamorphic,7,1,25,30,10.37,5.45,86.63,64,3087,0
T062,Non-metamorphic,7,1,20,25,10.37,5.45,86.63,64,3087,0
T063,Non-metamorphic,7,1,20,20,10.37,5.45,86.63,64,3087,0
T064,Non-metamorphic,7,1,20,21,10.37,5.45,86.63,64,3087,0
T065,Non-metamorphic,7,1,30,32,10.37,5.45,86.63,64,3087,0
T066,Non-metamorphic,7,1,23,22,10.37,5.45,86.63,64,3087,0
T119,Non-metamorphic,6.66,8,55,65,8.961,7.26,102.76,58.33,3087,17936.26999
T120,Non-metamorphic,6.66,3,37,40,8.961,7.26,102.76,58.33,3087,4442.546104
T121,Metamorphic,6.66,15,65,85,8.961,7.26,102.76,58.33,3087,160.9692943
T122,Non-metamorphic,6.66,11,60,63,8.961,7.26,102.76,58.33,3087,15508.01715
T123,Non-metamorphic,6.66,3,45,40,8.961,7.26,102.76,58.33,3087,441.98031
T186,Non-metamorphic,6.63,11,70,62,7.631,4.85,88.5,60.66,3087,111819.618
T187,Non-metamorphic,6.63,9,59,65,7.631,4.85,88.5,60.66,3087,0
T188,Non-metamorphic,6.63,7,62,64,7.631,4.85,88.5,60.66,3087,0
T189,Non-metamorphic,6.63,5,56,59,7.631,4.85,88.5,60.66,3087,0
T190,Non-metamorphic,6.63,12,66,71,7.631,4.85,88.5,60.66,3087,3969.35424
T191,Non-metamorphic,6.63,13,64,71,7.631,4.85,88.5,60.66,3087,565.9659975
T192,Non-metamorphic,6.63,11,62,68,7.631,4.85,88.5,60.66,3087,0
T193,Non-metamorphic,6.63,9,67,60,7.631,4.85,88.5,60.66,3087,1476.208869
T194,Non-metamorphic,6.63,7,54,57,7.631,4.85,88.5,60.66,3087,1529.070559
T195,Non-metamorphic,6.63,8,55,60,7.631,4.85,88.5,60.66,3087,26038.14926
T196,Non-metamorphic,6.63,10,59,71,7.631,4.85,88.5,60.66,3087,1167.386426
T197,Non-metamorphic,6.63,12,65,70,7.631,4.85,88.5,60.66,3087,1024.365149
T198,Non-metamorphic,6.63,14,65,76,7.631,4.85,88.5,60.66,3087,12813.18778
T199,Non-metamorphic,6.63,6,57,58,7.631,4.85,88.5,60.66,3087,1404.934734
T200,Non-metamorphic,6.63,12,66,75,7.631,4.85,88.5,60.66,3087,4344.191604
T201,Non-metamorphic,6.63,8,60,52,7.631,4.85,88.5,60.66,3087,3349.661288
T202,Non-metamorphic,6.63,7,54,62,7.631,4.85,88.5,60.66,3087,1512.322051
T203,Non-metamorphic,6.63,5,53,57,7.631,4.85,88.5,60.66,3087,2195.481473
T204,Non-metamorphic,6.63,4,50,46,7.631,4.85,88.5,60.66,3087,2095.946854
T205,Non-metamorphic,6.63,4,48,5,7.631,4.85,88.5,60.66,3087,566.4974404
T206,Non-metamorphic,6.63,10,72,72,7.631,4.85,88.5,60.66,3087,615.1281382
T207,Non-metamorphic,6.63,10,60,67,7.631,4.85,88.5,60.66,3087,377.6524738
T208,Non-metamorphic,6.63,10,62,70,7.631,4.85,88.5,60.66,3087,4114.684914
T270,Non-metamorphic,7.67,15,68,77,10.23,3.9,91.93,67.33,3087,0
T271,Non-metamorphic,7.67,7,50,67,10.23,3.9,91.93,67.33,3087,410482.9706
T272,Non-metamorphic,7.67,5,47,53,10.23,3.9,91.93,67.33,3087,30007.19198
T273,Non-metamorphic,7.67,10,58,71,10.23,3.9,91.93,67.33,3087,0
T274,Non-metamorphic,7.67,5,37,45,10.23,3.9,91.93,67.33,3087,20699.82276
T275,Non-metamorphic,7.67,7,57,64,10.23,3.9,91.93,67.33,3087,14220.48305
T276,Non-metamorphic,7.67,8,62,67,10.23,3.9,91.93,67.33,3087,19150.11213
T277,Non-metamorphic,7.67,6,54,68,10.23,3.9,91.93,67.33,3087,17547.74685
T278,Non-metamorphic,7.67,9,58,64,10.23,3.9,91.93,67.33,3087,32868.5876
T279,Non-metamorphic,7.67,10,52,61,10.23,3.9,91.93,67.33,3087,2444.797074
T280,Non-metamorphic,7.67,11,61,65,10.23,3.9,91.93,67.33,3087,1337.654006
T281,Non-metamorphic,7.67,6,58,58,10.23,3.9,91.93,67.33,3087,19640.11257
T282,Non-metamorphic,7.67,8,52,57,10.23,3.9,91.93,67.33,3087,1077.299639
T283,Non-metamorphic,7.67,8,58,60,10.23,3.9,91.93,67.33,3087,4010.566269
T284,Non-metamorphic,7.67,6,46,58,10.23,3.9,91.93,67.33,3087,3969.05402
T285,Non-metamorphic,7.67,8,60,57,10.23,3.9,91.93,67.33,3087,4235.482466
T286,Non-metamorphic,7.67,4,39,55,10.23,3.9,91.93,67.33,3087,3412.981222
T287,Non-metamorphic,7.67,10,66,72,10.23,3.9,91.93,67.33,3087,1341.975965
T288,Non-metamorphic,7.67,8,51,66,10.23,3.9,91.93,67.33,3087,13409.43546
T289,Metamorphic,7.67,11,66,74,10.23,3.9,91.93,67.33,3087,1545334.842
